,InheritedValue,Weighting,Akkadian,Hebrew,Arabic,Ge'ez,Oromo,Beja,Somali,Aari,Hausa,Egyptian,Coptic,Tuareg
*m,m,50,m,m,m,m,m,m,m,m,m,m,m,m
*n,n,50,n,n,n,n,n,n,n,n,n,n,n,n
*p,p,50,p,p,f,f,f,f,f,p,f,p,p,f
*t,t,50,t,t,t,t,t,t,t,t,t,t,t,t
*c,c,50,s,s,s,s,s,s,s,c,c̣,s,s,h
*č,č,50,š,š,ṯ,s,s,s,s,š,č,s,s,s
*ĉ,ĉ,50,š,ĉ,š,ĉ,š,š,š,č,s,š,š,h
*k,k,50,k,k,k,k,k,k,k,k,k,k,k,k
*q,q,50,ḫ,ḥ,ḫ,ḫ,k,k,k,k,k,ḫ,ḫ,k
*b,b,50,b,b,b,b,b,b,b,b,b,b,b,b
*d,d,50,d,d,d,d,d,d,d,d,d,ṭ,ṭ,d
*ʒ,ʒ,50,z,z,z,z,z,d,z,z,z,z,s,h
*ǯ,ǯ,50,z,z,ḏ,z,z,d,z,š,ǯ,z,s,h
*g,g,50,g,g,g,g,g,g,g,g,g,ḳ,ḳ,g
*ṭ,ṭ,50,ṭ,ṭ,ṭ,ṭ,ḍ,ḍ,ḍ,ḍ,ḍ,ṭ,t,ḍ'
*c̣,c̣,50,c̣,ṣ,ṣ,c̣,ḍ,ḍ,ḍ,c̣,c̣,č̣,č̣,ẓ
*č̣,č̣,50,c̣,ṣ,ẓ,c̣,ḍ,ḍ,ḍ,č̣,c̣,č̣,č̣,ẓ
*ĉ̣,ĉ̣,50,c̣,ṣ,ĉ̣,ĉ̣,ḍ,ḍ,ḍ,č̣,c̣,č̣,č̣,ḍ'
*ḳ,ḳ,50,q,q,q,ḳ,ḳ,ḳ,ḳ,ḳ,ḳ,q,ḳ,ɣ
*q̣,q̣,50,ḫ,ḥ,ḫ,ḫ,ḳ,ḳ,ḳ,ḳ,ḳ,ḫ,š,ɣ
*q̣ fricative,No,50,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,c
*f,f,50,p,p,f,f,f,f,f,f,f,f,f,f
